"ID","Comune","ID Provincia","ID Regione","Codice Catastale","Coordinate Nord","Coordinate Est","Coordinate Dec Nord","Coordinate Dec Est"
"2","Acciano","45","2","A018","42,10,38","13,43,3","42.17722222222222","13.7175"
"3","Aielli","45","2","A100","42,4,55","13,35,29","42.081944444444446","13.59138888888889"
"4","Alfedena","45","2","A187","41,44,8","14,2,0","41.73555555555556","14.033333333333333"
"5","Anversa Degli Abruzzi","45","2","A318","41,59,37","13,48,16","41.993611111111115","13.804444444444446"
"6","Ateleta","45","2","A481","41,51,20","14,11,54","41.855555555555554","14.198333333333334"
"7","Avezzano","45","2","A515","42,2,7","13,25,39","42.03527777777778","13.4275"
"8","Balsorano","45","2","A603","41,48,39","13,33,41","41.81083333333333","13.561388888888889"
"9","Barete","45","2","A656","42,27,1","13,17,1","42.45027777777778","13.28361111111111"
"10","Barisciano","45","2","A667","42,19,41","13,35,30","42.32805555555556","13.591666666666667"
"11","Barrea","45","2","A678","41,45,35","13,59,26","41.75972222222222","13.990555555555554"
"12","Bisegna","45","2","A884","41,55,23","13,45,24","41.92305555555555","13.756666666666666"
"13","Bugnara","45","2","B256","42,1,23","13,51,44","42.02305555555555","13.862222222222222"
"14","Cagnano Amiterno","45","2","B358","42,27,35","13,13,56","42.459722222222226","13.232222222222223"
"15","Calascio","45","2","B382","42,19,37","13,41,46","42.32694444444445","13.696111111111112"
"16","Campo Di Giove","45","2","B526","42,0,45","14,2,42","42.0125","14.045"
"17","Campotosto","45","2","B569","42,33,41","13,22,8","42.561388888888885","13.36888888888889"
"18","Canistro","45","2","B606","41,56,28","13,24,42","41.941111111111105","13.411666666666667"
"19","Cansano","45","2","B624","42,0,21","14,0,48","42.005833333333335","14.013333333333334"
"20","Capestrano","45","2","B651","42,16,7","13,46,8","42.26861111111111","13.76888888888889"
"21","Capistrello","45","2","B656","41,57,58","13,23,6","41.96611111111111","13.385"
"22","Capitignano","45","2","B658","42,31,20","13,18,7","42.52222222222222","13.301944444444445"
"23","Caporciano","45","2","B672","42,15,4","13,40,28","42.25111111111111","13.674444444444443"
"24","Cappadocia","45","2","B677","42,0,24","13,16,59","42.00666666666667","13.283055555555556"
"25","Carapelle Calvisio","45","2","B725","42,18,1","13,41,6","42.30027777777777","13.685"
"26","Carsoli","45","2","B842","42,6,3","13,5,17","42.100833333333334","13.088055555555556"
"27","Castel Del Monte","45","2","C083","42,21,54","13,43,36","42.365","13.726666666666667"
"28","Castel Di Ieri","45","2","C090","42,6,58","13,44,37","42.11611111111111","13.743611111111111"
"29","Castel Di Sangro","45","2","C096","41,47,16","14,6,36","41.78777777777778","14.11"
"30","Castellafiume","45","2","C126","41,59,21","13,20,7","41.98916666666667","13.335277777777778"
"31","Castelvecchio Calvisio","45","2","C278","42,18,41","13,41,20","42.311388888888885","13.68888888888889"
"32","Castelvecchio Subequo","45","2","C279","42,7,47","13,43,58","42.12972222222222","13.732777777777779"
"33","Celano","45","2","C426","42,5,9","13,32,52","42.08583333333333","13.547777777777778"
"34","Cerchio","45","2","C492","42,3,59","13,36,7","42.06638888888889","13.601944444444444"
"35","Civitella Alfedena","45","2","C778","41,46,2","13,56,33","41.76722222222222","13.9425"
"36","Civitella Roveto","45","2","C783","41,54,52","13,25,28","41.91444444444444","13.424444444444443"
"37","Cocullo","45","2","C811","42,1,54","13,46,35","42.031666666666666","13.77638888888889"
"38","Collarmele","45","2","C844","42,3,43","13,37,37","42.06194444444444","13.626944444444446"
"39","Collelongo","45","2","C862","41,53,15","13,35,2","41.8875","13.58388888888889"
"40","Collepietro","45","2","C866","42,13,23","13,46,45","42.223055555555554","13.779166666666667"
"41","Corfinio","45","2","C999","42,7,31","13,50,32","42.125277777777775","13.842222222222222"
"42","Fagnano Alto","45","2","D465","42,15,18","13,34,35","42.255","13.57638888888889"
"43","Fontecchio","45","2","D681","42,13,50","13,36,21","42.230555555555554","13.605833333333333"
"44","Fossa","45","2","D736","42,17,39","13,29,21","42.29416666666666","13.489166666666666"
"45","Gagliano Aterno","45","2","D850","42,7,37","13,42,8","42.12694444444445","13.702222222222222"
"46","Gioia Dei Marsi","45","2","E040","41,57,20","13,41,38","41.955555555555556","13.693888888888889"
"47","Goriano Sicoli","45","2","E096","42,4,56","13,46,30","42.08222222222223","13.775"
"48","Introdacqua","45","2","E307","42,0,33","13,53,59","42.009166666666665","13.899722222222222"
"49","Lecce Nei Marsi","45","2","E505","41,56,9","13,41,14","41.93583333333333","13.687222222222223"
"50","Luco Dei Marsi","45","2","E723","41,57,39","13,28,13","41.96083333333333","13.470277777777778"
"51","Lucoli","45","2","E724","42,17,31","13,20,21","42.29194444444444","13.339166666666667"
"52","Molina Aterno","45","2","M255","42,8,54","13,44,7","42.14833333333333","13.735277777777776"
"53","Montereale","45","2","F595","42,31,28","13,14,46","42.52444444444444","13.24611111111111"
"54","Morino","45","2","F732","41,51,55","13,27,29","41.86527777777778","13.458055555555555"
