"ID","Provincia","ID Regione","Sigla"
"1","Ancona","1","AN"
"2","Macerata","1","MC"
"3","Pesaro Urbino","1","PU"
"4","Ascoli Piceno","1","AP"
"5","Alessandria","13","AL"
"6","Asti","13","AT"
"7","Biella","13","BI"
"8","Cuneo","13","CN"
"9","Novara","13","NO"
"10","Vercelli","13","VC"
"11","Torino","13","TO"
"12","Agrigento","11","AG"
"13","Caltanissetta","11","CL"
"14","Catania","11","CT"
"15","Enna","11","EN"
"16","Messina","11","ME"
"17","Palermo","11","PA"
"18","Ragusa","11","RG"
"19","Siracusa","11","SR"
"20","Trapani","11","TP"
"21","Catanzaro","7","CZ"
"22","Cosenza","7","CS"
"23","Crotone","7","KR"
"24","Reggio Calabria","7","RC"
"25","Vibo Valentia","7","VV"
"27","Matera","3","MT"
"28","Potenza","3","PZ"
"29","Bari","6","BA"
"30","Brindisi","6","BR"
"31","Foggia","6","FG"
"32","Lecce","6","LE"
"33","Taranto","6","TA"
"34","Avellino","8","AV"
"35","Benevento","8","BN"
"36","Caserta","8","CE"
"37","Napoli","8","NA"
"38","Salerno","8","SA"
"39","Frosinone","9","FR"
"40","Latina","9","LT"
"41","Rieti","9","RI"
"42","Roma","9","RM"
"43","Viterbo","9","VT"
"44","Chieti","2","CH"
"45","L'Aquila","2","AQ"
"46","Pescara","2","PE"
"47","Teramo","2","TE"
"48","Arezzo","12","AR"
"49","Firenze","12","FI"
"50","Grosseto","12","GR"
"51","Livorno","12","LI"
"52","Lucca","12","LU"
"53","Massa Carrara","12","MS"
"54","Pisa","12","PI"
"55","Pistoia","12","PT"
"56","Siena","12","SI"
"57","Bologna","14","BO"
"58","Ferrara","14","FE"
"59","Forlì Cesena","14","FC"
"60","Modena","14","MO"
"61","Parma","14","PR"
"62","Piacenza","14","PC"
"63","Ravenna","14","RA"
"64","Reggio Emilia","14","RE"
"65","Rimini","14","RN"
"66","Belluno","17","BL"
"67","Padova","17","PD"
"68","Rovigo","17","RO"
"69","Treviso","17","TV"
"70","Venezia","17","VE"
"71","Verona","17","VR"
"72","Vicenza","17","VI"
"73","Gorizia","15","GO"
"74","Pordenone","15","PN"
"75","Udine","15","UD"
"76","Trieste","15","TS"
"77","Aosta","16","AO"
"78","Cagliari","10","CA"
"79","Nuoro","10","NU"
"80","Oristano","10","OR"
"81","Sassari","10","SS"
"82","Genova","18","GE"
"83","Imperia","18","IM"
"84","Savona","18","SV"
"85","La Spezia","18","SP"
"86","Isernia","4","IS"
"87","Campobasso","4","CB"
"88","Perugia","20","PG"
"89","Terni","20","TR"
"90","Bergamo","19","BG"
"91","Brescia","19","BS"
"92","Como","19","CO"
"93","Cremona","19","CR"
"94","Lecco","19","LC"
"95","Lodi","19","LO"
"96","Mantova","19","MN"
"97","Milano","19","MI"
"98","Pavia","19","PV"
"99","Sondrio","19","SO"
"100","Varese","19","VA"
"101","Trento","5","TN"
"102","Bolzano","5","BZ"
"103","Prato","12","PO"
"104","Verbania","13","VB"
"105","Carbonia Iglesias","10","CI"
"106","Medio Campidano","10","VS"
"107","Ogliastra","10","OG"
"108","Olbia Tempio","10","OT"
